id,sender_id,chat_id,content,created_at,date
1,10,dm-general,No problem 👍,2026-06-28 18:07:00,2026-06-28
2,9,group-project,Can you review my PR?,2026-06-28 18:09:00,2026-06-28
3,7,group-design,No problem 👍,2026-06-28 12:50:00,2026-06-28
4,5,group-design,Great! Don't forget to add file sharing feature.,2026-06-28 22:10:00,2026-06-28
5,3,dm-general,"Sounds good, checking now.",2026-06-28 18:08:00,2026-06-28
6,1,dm-general,Meeting at 5?,2026-06-28 08:20:00,2026-06-28
7,4,group-design,No problem 👍,2026-06-28 22:53:00,2026-06-28
8,9,group-project,"I'm good, working on the messenger project.",2026-06-28 20:55:00,2026-06-28
9,9,dm-general,"I'm good, working on the messenger project.",2026-06-28 11:19:00,2026-06-28
10,6,dm-general,"I'm good, working on the messenger project.",2026-06-28 10:35:00,2026-06-28
11,2,dm-general,Hey! How are you?,2026-06-28 15:08:00,2026-06-28
12,2,group-design,Meeting at 5?,2026-06-28 13:56:00,2026-06-28
13,9,group-design,Hey! How are you?,2026-06-28 16:30:00,2026-06-28
14,7,group-project,Can you review my PR?,2026-06-29 14:57:00,2026-06-29
15,8,group-project,Meeting at 5?,2026-06-29 12:39:00,2026-06-29
16,6,dm-general,"Sounds good, checking now.",2026-06-29 15:56:00,2026-06-29
17,10,dm-general,"Sure, I'll complete it today.",2026-06-29 08:21:00,2026-06-29
18,7,group-project,"Sounds good, checking now.",2026-06-29 08:30:00,2026-06-29
19,9,dm-general,"Yep, see you then.",2026-06-29 12:11:00,2026-06-29
20,7,group-project,Can you review my PR?,2026-06-29 21:59:00,2026-06-29
21,5,group-design,Hey! How are you?,2026-06-29 22:35:00,2026-06-29
22,1,group-design,Meeting at 5?,2026-06-29 11:21:00,2026-06-29
23,3,dm-general,Let's connect later.,2026-06-29 22:12:00,2026-06-29
24,10,group-project,"Okay, sounds good.",2026-06-29 19:45:00,2026-06-29
25,1,dm-general,"I'm good, working on the messenger project.",2026-06-29 12:07:00,2026-06-29
26,1,dm-general,Let's connect later.,2026-06-29 11:43:00,2026-06-29
27,8,dm-general,"Okay, sounds good.",2026-06-29 13:50:00,2026-06-29
28,3,group-design,"Sure, I'll complete it today.",2026-06-29 21:29:00,2026-06-29
29,7,group-project,Thanks for the update!,2026-06-29 07:51:00,2026-06-29
30,6,group-design,Great! Don't forget to add file sharing feature.,2026-06-29 18:20:00,2026-06-29
31,10,group-design,"Sounds good, checking now.",2026-06-29 16:43:00,2026-06-29
32,1,dm-general,"Sounds good, checking now.",2026-06-29 13:07:00,2026-06-29
33,7,dm-general,Thanks for the update!,2026-06-30 21:38:00,2026-06-30
34,2,group-project,"I'm good, working on the messenger project.",2026-06-30 15:17:00,2026-06-30
35,3,dm-general,Meeting at 5?,2026-06-30 09:31:00,2026-06-30
36,7,group-design,"Sure, I'll complete it today.",2026-06-30 10:35:00,2026-06-30
37,3,group-project,Great! Don't forget to add file sharing feature.,2026-06-30 16:01:00,2026-06-30
38,5,group-design,Meeting at 5?,2026-06-30 15:07:00,2026-06-30
39,9,dm-general,"I'm good, working on the messenger project.",2026-06-30 21:13:00,2026-06-30
40,6,group-design,Meeting at 5?,2026-06-30 18:06:00,2026-06-30
41,6,group-project,"Okay, sounds good.",2026-06-30 11:12:00,2026-06-30
42,4,group-design,No problem 👍,2026-06-30 22:59:00,2026-06-30
43,2,dm-general,Great! Don't forget to add file sharing feature.,2026-06-30 08:35:00,2026-06-30
44,7,dm-general,"I'm good, working on the messenger project.",2026-06-30 18:40:00,2026-06-30
45,4,group-project,"I'm good, working on the messenger project.",2026-06-30 19:18:00,2026-06-30
46,9,group-design,Thanks for the update!,2026-06-30 17:16:00,2026-06-30
47,5,dm-general,"Sounds good, checking now.",2026-06-30 11:54:00,2026-06-30
48,2,group-project,"Okay, sounds good.",2026-06-30 11:35:00,2026-06-30
49,6,group-project,Let's connect later.,2026-07-01 19:19:00,2026-07-01
50,2,dm-general,Great! Don't forget to add file sharing feature.,2026-07-01 15:45:00,2026-07-01
51,1,dm-general,Meeting at 5?,2026-07-01 10:02:00,2026-07-01
52,6,dm-general,Great! Don't forget to add file sharing feature.,2026-07-01 14:58:00,2026-07-01
53,6,dm-general,No problem 👍,2026-07-01 14:24:00,2026-07-01
54,10,dm-general,Can you review my PR?,2026-07-01 19:55:00,2026-07-01
55,9,group-design,No problem 👍,2026-07-01 17:05:00,2026-07-01
56,2,group-project,Can you review my PR?,2026-07-01 16:39:00,2026-07-01
57,9,group-design,Thanks for the update!,2026-07-01 11:21:00,2026-07-01
58,6,group-design,"Sure, I'll complete it today.",2026-07-01 10:13:00,2026-07-01
59,5,group-design,Great! Don't forget to add file sharing feature.,2026-07-01 15:05:00,2026-07-01
60,7,group-project,Let's connect later.,2026-07-01 15:28:00,2026-07-01
61,3,dm-general,"Yep, see you then.",2026-07-01 10:45:00,2026-07-01
62,10,group-design,Thanks for the update!,2026-07-01 09:53:00,2026-07-01
63,3,group-project,Meeting at 5?,2026-07-01 11:23:00,2026-07-01
64,6,group-project,No problem 👍,2026-07-01 16:24:00,2026-07-01
65,8,dm-general,"Sounds good, checking now.",2026-07-01 18:42:00,2026-07-01
66,3,group-design,"Sure, I'll complete it today.",2026-07-01 15:10:00,2026-07-01
67,7,group-project,"Okay, sounds good.",2026-07-02 09:31:00,2026-07-02
68,10,group-design,Let's connect later.,2026-07-02 11:57:00,2026-07-02
69,10,group-design,"I'm good, working on the messenger project.",2026-07-02 11:05:00,2026-07-02
70,6,dm-general,Hey! How are you?,2026-07-02 12:06:00,2026-07-02
71,4,group-design,"I'm good, working on the messenger project.",2026-07-02 19:48:00,2026-07-02
72,5,dm-general,Let's connect later.,2026-07-02 10:15:00,2026-07-02
73,8,group-project,"Okay, sounds good.",2026-07-02 10:48:00,2026-07-02
74,9,group-design,"Yep, see you then.",2026-07-02 13:41:00,2026-07-02
75,5,group-design,"Sure, I'll complete it today.",2026-07-02 17:07:00,2026-07-02
76,9,dm-general,Hey! How are you?,2026-07-02 09:55:00,2026-07-02
77,4,dm-general,Great! Don't forget to add file sharing feature.,2026-07-02 13:51:00,2026-07-02
78,8,dm-general,Can you review my PR?,2026-07-02 21:22:00,2026-07-02
79,2,dm-general,"Sure, I'll complete it today.",2026-07-02 15:26:00,2026-07-02
80,7,group-project,"Okay, sounds good.",2026-07-02 07:43:00,2026-07-02
81,2,group-design,Hey! How are you?,2026-07-02 14:32:00,2026-07-02
82,10,group-design,Great! Don't forget to add file sharing feature.,2026-07-02 13:01:00,2026-07-02
83,2,group-project,"Okay, sounds good.",2026-07-03 20:45:00,2026-07-03
84,1,group-project,Thanks for the update!,2026-07-03 09:00:00,2026-07-03
85,2,dm-general,Thanks for the update!,2026-07-03 08:22:00,2026-07-03
86,4,dm-general,"Yep, see you then.",2026-07-03 09:55:00,2026-07-03
87,1,group-design,Great! Don't forget to add file sharing feature.,2026-07-03 16:09:00,2026-07-03
88,1,group-design,"I'm good, working on the messenger project.",2026-07-03 10:31:00,2026-07-03
89,3,group-project,"I'm good, working on the messenger project.",2026-07-03 08:03:00,2026-07-03
90,7,group-project,"Sure, I'll complete it today.",2026-07-03 19:58:00,2026-07-03
91,3,group-project,"Yep, see you then.",2026-07-03 14:46:00,2026-07-03
92,10,group-project,Meeting at 5?,2026-07-03 10:36:00,2026-07-03
93,10,group-project,"I'm good, working on the messenger project.",2026-07-03 07:00:00,2026-07-03
94,1,dm-general,"Okay, sounds good.",2026-07-03 15:05:00,2026-07-03
95,9,group-project,Can you review my PR?,2026-07-03 13:45:00,2026-07-03
96,3,group-project,"I'm good, working on the messenger project.",2026-07-03 17:58:00,2026-07-03
97,5,group-project,"I'm good, working on the messenger project.",2026-07-03 19:01:00,2026-07-03
98,2,group-design,Thanks for the update!,2026-07-03 20:24:00,2026-07-03
99,1,group-project,"Yep, see you then.",2026-07-03 15:35:00,2026-07-03
100,4,group-design,Meeting at 5?,2026-07-03 09:50:00,2026-07-03
101,10,group-design,"Yep, see you then.",2026-07-03 22:21:00,2026-07-03
102,9,group-design,Meeting at 5?,2026-07-03 07:25:00,2026-07-03
103,8,group-design,"Sure, I'll complete it today.",2026-07-03 13:46:00,2026-07-03
